prct_cause_infra,retard_moyen_trains_retard_sup15,retard_moyen_tous_trains_arrivee,prct_cause_externe,nb_train_prevu,prct_cause_gestion_trafic,nb_train_retard_arrivee,nb_train_retard_sup_15,nb_annulation,prct_cause_prise_en_charge_voyageurs,gare_arrivee,retard_moyen_arrivee,nb_train_retard_sup_30,nb_train_retard_sup_60,service,nb_train_depart_retard,commentaires_retard_arrivee,prct_cause_gestion_gare,date,gare_depart,duree_moyenne,retard_moyen_depart,retard_moyen_tous_trains_depart,prct_cause_materiel_roulant
5.172413793,10.32313218,10.32313218,24.13793103,237,37.93103448,60,47,5,3.448275862,LILLE,27.69944444,20,3,National,173,"Première cause d'irrégularité les ""Autres transporteurs""--En exemple la panne Eurostar 9023 le di 23  au sud de TGV HP de 12h à 20h : 49 TGV touchés dont 20 détournés ligne classique (TGV IS bien concernés aussi)",15.51724138,2018-12,LYON PART DIEU,186,8.91628131,6.730675287,13.79310345
5.128205128,9.882155797,9.882155797,28.20512821,187,43.58974359,40,40,3,0.0,LILLE,32.35,16,2,National,35,"Première cause d'irrégularité les ""Autres transporteurs""--En exemple la panne Eurostar 9023 le di 23  au sud de TGV HP de 12h à 20h : 49 TGV touchés dont 20 détournés ligne classique (TGV IS bien concernés aussi)",10.25641026,2018-12,MARSEILLE ST CHARLES,288,5.446666667,0.89682971,12.82051282
23.80952381,4.892940454,4.892940454,19.04761905,551,21.9047619,110,54,8,0.0,LILLE,22.20136364,18,8,National,123,,6.666666667,2018-12,PARIS NORD,62,12.53523035,2.724831185,28.57142857
9.85915493,2.20613155,2.20613155,15.49295775,600,28.16901408,73,26,2,0.0,LILLE,15.33812785,6,0,National,109,,2.816901408,2018-11,PARIS NORD,62,8.53440367,1.375557414,43.66197183
14.28571429,11.80485075,11.80485075,24.28571429,271,52.85714286,70,62,3,2.857142857,LILLE,35.15285714,25,9,National,233,"le « Matériel » présente le taux le plus important (exemple : avec la panne du 6122 au Creusot), une irrégularité partagée entre le Produit train avec les mises à quai tardives et les incidents techniques.
La cause « extérieur infra » est très conséquente avec les heurts d’animaux précités, avec les accidents de personnes de Montanay le mardi 06 ou de Villiers le Bel le 30, aussi les personnes dans les voies à Paris le mardi 20 suite alerte radio, en cause pour ce dernier incident une erreur d’aiguillage avec une rame vide Ter envoyée à tort en gare souterraine (problème d’indexation d’itinéraires) .
 En troisième position, il s’agit des dérangements , avec le cas du rail cassé de Joncherolles, voire le rail cassé près de Douai.",0.0,2018-11,LYON PART DIEU,187,11.21065808,9.831902985,5.714285714
18.18181818,12.35260708,12.35260708,27.27272727,182,45.45454545,44,44,3,0.0,LILLE,39.40492424,18,8,National,45,"le « Matériel » présente le taux le plus important (exemple : avec la panne du 6122 au Creusot), une irrégularité partagée entre le Produit train avec les mises à quai tardives et les incidents techniques.
La cause « extérieur infra » est très conséquente avec les heurts d’animaux précités, avec les accidents de personnes de Montanay le mardi 06 ou de Villiers le Bel le 30, aussi les personnes dans les voies à Paris le mardi 20 suite alerte radio, en cause pour ce dernier incident une erreur d’aiguillage avec une rame vide Ter envoyée à tort en gare souterraine (problème d’indexation d’itinéraires) .
 En troisième position, il s’agit des dérangements , avec le cas du rail cassé de Joncherolles, voire le rail cassé près de Douai.",0.0,2018-11,MARSEILLE ST CHARLES,300,8.532962963,2.076722533,9.090909091
25.92592593,13.6120801,13.6120801,23.45679012,261,34.56790123,81,73,3,3.703703704,LILLE,35.57098765,23,10,National,222,"l’incident caténaire de Fresnoy ce jeudi 11  en début d’après-midi a perturbé fortement le plan de transport, avec  un pendule qui casse et la  caténaire qui se détend sur  1500 mètres. Cet incident a concerné 57 TGV Voyages pour 2439 minutes perdues (147 trains et 3848 min au total), et un coût de 1,5 point  pour la régularité composite mensuelle.
L’autre évènement phare du mois s’est déroulé le dernier dimanche avec le heurt d’un sanglier par le TGV 7187 à Fresnoy, un incident très coûteux en régularité car il a touché 32 Tgv Voyages pour 2036 minutes perdues,  et en totalité 67 trains pour 3529 minutes. Le prix en matière de régularité composite pour ce heurt d’animal précité correspond aussi à 1,5 point.",7.407407407,2018-10,LYON PART DIEU,187,12.0533033,10.42758398,4.938271605
26.92307692,14.90592369,14.90592369,23.07692308,169,34.61538462,52,52,3,3.846153846,LILLE,40.07564103,17,8,National,54,"l’incident caténaire de Fresnoy ce jeudi 11  en début d’après-midi a perturbé fortement le plan de transport, avec  un pendule qui casse et la  caténaire qui se détend sur  1500 mètres. Cet incident a concerné 57 TGV Voyages pour 2439 minutes perdues (147 trains et 3848 min au total), et un coût de 1,5 point  pour la régularité composite mensuelle.
L’autre évènement phare du mois s’est déroulé le dernier dimanche avec le heurt d’un sanglier par le TGV 7187 à Fresnoy, un incident très coûteux en régularité car il a touché 32 Tgv Voyages pour 2036 minutes perdues,  et en totalité 67 trains pour 3529 minutes. Le prix en matière de régularité composite pour ce heurt d’animal précité correspond aussi à 1,5 point.",5.769230769,2018-10,MARSEILLE ST CHARLES,301,6.422839506,2.080722892,5.769230769
21.05263158,4.227891738,4.227891738,21.05263158,594,17.10526316,76,36,9,2.631578947,LILLE,29.21732456,19,10,National,99,,11.84210526,2018-10,PARIS NORD,62,12.67222222,2.030740741,26.31578947
25.0,9.239548023,9.239548023,8.333333333,179,33.33333333,36,36,2,5.555555556,LILLE,35.62777778,12,7,National,43,"Causes « Autres transporteurs » ont pesé fortement sur la régularité, en exemple  l’incident du  Ter 887321 à Chandieu (Sud Est) qui s’immobilise sous une section de séparation avec demande secours (36 trains Voyages pour 1072 minutes perdues)-",8.333333333,2018-09,MARSEILLE ST CHARLES,307,10.99689922,2.682297552,19.44444444
